id_buku,judul,pengarang,penerbit,tahun_terbit,fakultas_terkait,prodi_terkait,kategori,sinopsis,tags,bahasa,jenis_koleksi,jumlah_halaman,isbn,stok
BK00015,Dasar Web Development,Gandi Damanik,Kencana Prenada,2008,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai logika pemrograman, algoritma dan struktur data, serta efisiensi algoritma. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","python, algoritma, pemrograman, coding",Indonesia,E-book,161,978-0-01-031051-1,9999
BK00016,C++: Konsep dan Implementasi,"Sutan Estiawan Winarsih, Gabriella Namaga",Nuha Medika,2005,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini mengulas berbagai aspek penting dari logika pemrograman, implementasi kode, serta pemecahan masalah komputasional. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","logika komputasi, struktur data, python, java",Indonesia,Fisik,395,978-1-376-31165-5,3
BK00017,Pengantar C++,Laras Hastuti,Salemba Empat,2008,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami efisiensi algoritma, implementasi kode, serta algoritma dan struktur data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","logika komputasi, python, struktur data, java",Indonesia,Fisik,174,978-0-06-513338-7,8
BK00018,Algoritma dan Pemrograman Berorientasi Objek,Dina Anggraini,Alfabeta,2018,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang efisiensi algoritma, pemecahan masalah komputasional, serta implementasi kode. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","java, logika komputasi, coding, python",Indonesia,Fisik,290,978-1-73178-108-6,2
BK00019,Pengantar Web Development,"Cut Cornelia Prakasa, S.E.",Informatika Bandung,2009,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami efisiensi algoritma, algoritma dan struktur data, serta implementasi kode. Membantu pembaca membangun pemahaman konseptual maupun praktis.","algoritma, kompleksitas, coding, struktur data",Indonesia,Fisik,277,978-1-7360260-6-9,5
BK00020,Algoritma dan Algoritma,Violet Hasanah,Gramedia Pustaka Utama,2018,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai efisiensi algoritma, logika pemrograman, serta pengembangan perangkat lunak. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","logika komputasi, coding, pemrograman, java",Indonesia,E-book,290,978-1-872343-09-9,9999
BK00021,Algoritma: Konsep dan Implementasi,"Puput Halim, S.Psi",Kencana Prenada,2012,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini mengulas berbagai aspek penting dari logika pemrograman, pengembangan perangkat lunak, serta pemecahan masalah komputasional. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","struktur data, java, algoritma, coding",Indonesia,E-book,218,978-0-9788208-1-7,9999
BK00022,Algoritma dan Pemrograman Berorientasi Objek,"R. Betania Riyanti, S.Pt",Deepublish,2013,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang pemecahan masalah komputasional, efisiensi algoritma, serta implementasi kode. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","pemrograman, python, logika komputasi, kompleksitas",Indonesia,Fisik,175,978-1-193-99091-0,6
BK00023,C++: Konsep dan Implementasi,Sakura Padmasari,Elex Media Komputindo,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang implementasi kode, algoritma dan struktur data, serta pemecahan masalah komputasional. Membantu pembaca membangun pemahaman konseptual maupun praktis.","struktur data, java, pemrograman, kompleksitas",Indonesia,Fisik,155,978-1-353-46247-9,5
BK00024,Python: Konsep dan Implementasi,Umi Hidayanto,Deepublish,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai pemecahan masalah komputasional, implementasi kode, serta logika pemrograman. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","pemrograman, logika komputasi, java, python",Indonesia,Fisik,400,978-1-991183-84-2,0
BK00025,Algoritma dan Algoritma,Wardi Tampubolon,Graha Ilmu,2014,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai pengembangan perangkat lunak, logika pemrograman, serta pemecahan masalah komputasional. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","logika komputasi, java, coding, kompleksitas",Indonesia,Fisik,464,978-0-542-78498-9,4
BK00026,Pengantar Java Edisi Ke-2,Mulyanto Puspasari,Gramedia Pustaka Utama,2009,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang logika pemrograman, pemecahan masalah komputasional, serta efisiensi algoritma. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","struktur data, java, coding, pemrograman",Indonesia,Fisik,232,978-0-241-18244-4,2
BK00027,Dasar Algoritma,"R.A. Tina Siregar, Mahfud Usada",Informatika Bandung,2021,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang efisiensi algoritma, pengembangan perangkat lunak, serta implementasi kode. Membantu pembaca membangun pemahaman konseptual maupun praktis.","python, coding, java, pemrograman",Inggris,Fisik,500,978-1-4016-4005-7,7
BK00028,Algoritma dan Algoritma,"R.M. Makuta Saptono, S.E., Maimunah Puspasari, S.Farm",Graha Ilmu,2015,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai pemecahan masalah komputasional, algoritma dan struktur data, serta implementasi kode. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","kompleksitas, logika komputasi, struktur data, python",Indonesia,Fisik,197,978-0-12-805982-1,3
BK00029,Java: Konsep dan Implementasi,"Dian Gunarto, Karimah Gunarto",Gramedia Pustaka Utama,2023,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang pemecahan masalah komputasional, algoritma dan struktur data, serta logika pemrograman. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","coding, python, pemrograman, java",Inggris,Fisik,123,978-0-315-86923-3,5
BK00030,Pemrograman Logika Pemrograman untuk Pemula,"R. Wirda Nugroho, S.Farm",Deepublish,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang pemecahan masalah komputasional, pengembangan perangkat lunak, serta algoritma dan struktur data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","java, kompleksitas, struktur data, python",Inggris,Fisik,438,978-0-563-42160-3,8
BK00031,Pemrograman Struktur Data untuk Pemula Edisi Terbaru,"Dr. Gawati Pangestu, M.M., Ina Pradana",PT Grasindo,2015,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang pemecahan masalah komputasional, implementasi kode, serta logika pemrograman. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","kompleksitas, struktur data, algoritma, python",Indonesia,Fisik,249,978-0-365-41458-2,1
BK00032,Dasar Struktur Data,Shania Nasyiah,Kencana Prenada,2009,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang algoritma dan struktur data, logika pemrograman, serta efisiensi algoritma. Membantu pembaca membangun pemahaman konseptual maupun praktis.","struktur data, coding, logika komputasi, algoritma",Indonesia,Fisik,462,978-0-14-294019-8,1
BK00033,Pemrograman Pemrograman Berorientasi Objek untuk Pemula,"Jelita Sihotang, Rachel Melani",PT Grasindo,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini mengulas berbagai aspek penting dari algoritma dan struktur data, efisiensi algoritma, serta pengembangan perangkat lunak. Membantu pembaca membangun pemahaman konseptual maupun praktis.","struktur data, coding, kompleksitas, python",Indonesia,Fisik,423,978-1-934060-88-9,3
BK00034,Pemrograman Berorientasi Objek: Konsep dan Implementasi,"Najib Winarsih, S.Kom",Graha Ilmu,2021,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini mengulas berbagai aspek penting dari implementasi kode, efisiensi algoritma, serta pemecahan masalah komputasional. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","struktur data, coding, pemrograman, algoritma",Indonesia,Fisik,541,978-1-159-51484-6,7
BK00035,Pemrograman C++ untuk Pemula,"Hasan Simbolon, S.Sos",Alfabeta,2023,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang pengembangan perangkat lunak, implementasi kode, serta pemecahan masalah komputasional. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","python, java, struktur data, pemrograman",Indonesia,Fisik,545,978-0-366-29946-1,1
BK00036,Pemrograman Algoritma untuk Pemula,Dt. Gadang Suwarno,Graha Ilmu,2013,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai implementasi kode, logika pemrograman, serta pemecahan masalah komputasional. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","coding, python, algoritma, java",Indonesia,E-book,479,978-1-995777-38-2,9999
BK00037,Belajar Struktur Data dari Nol,"Wulan Narpati, Bakiadi Suryono, M.TI.",Andi Publisher,2005,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang efisiensi algoritma, logika pemrograman, serta pemecahan masalah komputasional. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","java, logika komputasi, kompleksitas, coding",Indonesia,Fisik,327,978-0-343-32003-4,3
BK00038,C++: Konsep dan Implementasi,Rahmi Hidayanto,Rajawali Pers,2012,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini mengulas berbagai aspek penting dari implementasi kode, pemecahan masalah komputasional, serta pengembangan perangkat lunak. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","coding, logika komputasi, pemrograman, python",Indonesia,Fisik,181,978-1-936763-20-7,8
BK00039,Pengantar Algoritma,"KH. Timbul Kurniawan, S.Farm, Cecep Maryati",Salemba Empat,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini mengulas berbagai aspek penting dari logika pemrograman, implementasi kode, serta pengembangan perangkat lunak. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","pemrograman, algoritma, struktur data, python",Indonesia,Fisik,147,978-0-8317-2788-8,8
BK00040,Java: Konsep dan Implementasi,dr. Usyi Handayani,Erlangga,2010,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang implementasi kode, pemecahan masalah komputasional, serta efisiensi algoritma. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","struktur data, coding, algoritma, pemrograman",Indonesia,Fisik,178,978-1-277-43487-3,1
BK00041,Pemrograman Python untuk Pemula,"Digdaya Saefullah, M.M.",Kencana Prenada,2024,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami algoritma dan struktur data, logika pemrograman, serta pengembangan perangkat lunak. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","python, struktur data, pemrograman, kompleksitas",Inggris,Fisik,346,978-1-345-58122-5,4
BK00042,Algoritma dan Struktur Data,Harjo Mangunsong,Andi Publisher,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai pengembangan perangkat lunak, algoritma dan struktur data, serta logika pemrograman. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","java, logika komputasi, struktur data, python",Indonesia,Fisik,329,978-0-665-87603-5,7
BK00043,Algoritma dan Struktur Data Edisi Ke-3,"drg. Kayla Padmasari, S.Ked",Kencana Prenada,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang implementasi kode, efisiensi algoritma, serta logika pemrograman. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","kompleksitas, algoritma, logika komputasi, struktur data",Indonesia,Fisik,543,978-1-05-466889-7,2
BK00044,Dasar Java,Jinawi Prasetya,Pustaka Pelajar,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini mengulas berbagai aspek penting dari pengembangan perangkat lunak, implementasi kode, serta pemecahan masalah komputasional. Membantu pembaca membangun pemahaman konseptual maupun praktis.","pemrograman, java, algoritma, coding",Inggris,Fisik,426,978-1-70656-272-6,0
BK00045,C++: Konsep dan Implementasi,"Drs. Aisyah Wijaya, Ir. Salimah Dongoran",Nuha Medika,2021,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai algoritma dan struktur data, implementasi kode, serta pengembangan perangkat lunak. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","java, logika komputasi, pemrograman, coding",Indonesia,Fisik,419,978-1-272-04653-8,6
BK00046,Dasar Web Development,Jane Sirait,Nuha Medika,2006,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang pemecahan masalah komputasional, pengembangan perangkat lunak, serta implementasi kode. Membantu pembaca membangun pemahaman konseptual maupun praktis.","struktur data, coding, kompleksitas, python",Indonesia,Fisik,249,978-1-64170-805-0,5
BK00047,Pemrograman Struktur Data untuk Pemula,Martaka Hidayat,Alfabeta,2011,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang implementasi kode, efisiensi algoritma, serta pemecahan masalah komputasional. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","coding, algoritma, struktur data, pemrograman",Indonesia,Fisik,344,978-0-330-92327-9,7
BK00048,Dasar Algoritma,"Balijan Pratiwi, S.Kom",Bumi Aksara,2020,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang logika pemrograman, algoritma dan struktur data, serta pemecahan masalah komputasional. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","algoritma, pemrograman, java, kompleksitas",Indonesia,Fisik,547,978-1-5299-1241-8,7
BK00049,Pengantar Web Development,Cut Ira Permata,Pustaka Pelajar,2014,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang pemecahan masalah komputasional, implementasi kode, serta efisiensi algoritma. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","python, coding, algoritma, kompleksitas",Indonesia,Fisik,395,978-1-319-31491-0,7
BK00050,Algoritma dan Logika Pemrograman,"Drs. Purwa Gunarto, S.I.Kom",PT Grasindo,2020,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang pemecahan masalah komputasional, logika pemrograman, serta pengembangan perangkat lunak. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","java, logika komputasi, struktur data, pemrograman",Inggris,E-book,525,978-1-185-06716-3,9999
BK00051,Pemrograman Struktur Data untuk Pemula Edisi Ke-3,Siska Haryanti,Alfabeta,2020,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai algoritma dan struktur data, logika pemrograman, serta pemecahan masalah komputasional. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","kompleksitas, algoritma, pemrograman, java",Indonesia,E-book,474,978-1-284-98776-8,9999
BK00052,Python: Konsep dan Implementasi,"Ir. Hasna Sinaga, S.H.",Andi Publisher,2012,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai efisiensi algoritma, algoritma dan struktur data, serta pengembangan perangkat lunak. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","coding, python, logika komputasi, java",Inggris,Fisik,509,978-1-7379965-0-7,1
BK00053,Pengantar Pemrograman Berorientasi Objek,"Zizi Simbolon, Jinawi Prabowo",Deepublish,2023,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami pemecahan masalah komputasional, logika pemrograman, serta efisiensi algoritma. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","algoritma, python, coding, logika komputasi",Indonesia,Fisik,160,978-1-5494-8083-6,6
BK00054,Pemrograman Java untuk Pemula Edisi Ke-3,Dimas Wasita,Bumi Aksara,2016,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang pengembangan perangkat lunak, efisiensi algoritma, serta logika pemrograman. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","algoritma, coding, java, python",Inggris,E-book,248,978-0-7770-1436-3,9999
BK00055,Algoritma dan Algoritma,"Hesti Samosir, M.Farm",Alfabeta,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini mengulas berbagai aspek penting dari implementasi kode, efisiensi algoritma, serta pengembangan perangkat lunak. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","struktur data, kompleksitas, java, pemrograman",Indonesia,E-book,471,978-1-885685-57-5,9999
BK00056,Belajar Web Development dari Nol,Ina Ramadan,Bumi Aksara,2006,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai pengembangan perangkat lunak, logika pemrograman, serta implementasi kode. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","java, pemrograman, python, struktur data",Inggris,Fisik,416,978-0-351-82337-4,5
BK00057,Dasar Pemrograman Berorientasi Objek,Tari Rahmawati,Bumi Aksara,2020,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai efisiensi algoritma, pengembangan perangkat lunak, serta implementasi kode. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","java, struktur data, pemrograman, python",Indonesia,Fisik,359,978-0-343-52408-1,1
BK00058,Pengantar Logika Pemrograman,Endra Gunawan,PT Grasindo,2013,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang implementasi kode, efisiensi algoritma, serta algoritma dan struktur data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","logika komputasi, algoritma, java, coding",Indonesia,Fisik,465,978-1-271-09477-6,3
BK00059,Dasar C++,"Jasmin Nashiruddin, Dono Kuswandari",Bumi Aksara,2006,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai pengembangan perangkat lunak, pemecahan masalah komputasional, serta algoritma dan struktur data. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","struktur data, logika komputasi, java, python",Inggris,Fisik,169,978-0-671-90229-2,3
BK00060,Pemrograman Web Development untuk Pemula,Chelsea Prayoga,Erlangga,2013,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami pemecahan masalah komputasional, algoritma dan struktur data, serta pengembangan perangkat lunak. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","coding, pemrograman, logika komputasi, struktur data",Indonesia,Fisik,347,978-1-9993867-7-1,7
BK00061,Algoritma dan Python,Zelda Rahmawati,Gramedia Pustaka Utama,2024,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang logika pemrograman, algoritma dan struktur data, serta pemecahan masalah komputasional. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","logika komputasi, algoritma, java, python",Indonesia,Fisik,244,978-1-990913-34-1,2
BK00062,Dasar Algoritma,"Bajragin Manullang, S.H.",Deepublish,2013,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai algoritma dan struktur data, implementasi kode, serta logika pemrograman. Membantu pembaca membangun pemahaman konseptual maupun praktis.","java, python, struktur data, pemrograman",Indonesia,E-book,133,978-0-206-79740-9,9999
