,id_transaksi,id_user,id_buku,tanggal_pinjam,tanggal_kembali_rencana,tanggal_kembali_aktual,status,lama_waktu_pinjam(hari)
73,TRX000074,USR00268,BK00261,2025-10-25,2025-11-08,2025-11-03,Dikembalikan,9.0
74,TRX000075,USR00344,BK00946,2025-04-02,2025-04-16,2025-04-18,Terlambat,16.0
75,TRX000076,USR00245,BK00973,2023-07-10,2023-07-24,2023-07-29,Terlambat,19.0
76,TRX000077,USR00312,BK00549,2023-01-01,2023-01-15,2023-01-12,Dikembalikan,11.0
77,TRX000078,USR00318,BK01000,2025-04-22,2025-05-06,2025-05-07,Terlambat,15.0
78,TRX000079,USR00367,BK01059,2025-02-24,2025-03-10,2025-03-16,Terlambat,20.0
79,TRX000080,USR00325,BK00222,2023-02-02,2023-02-16,2023-02-16,Dikembalikan,14.0
80,TRX000081,USR00239,BK00978,2025-02-06,2025-02-20,2025-02-09,Dikembalikan,3.0
81,TRX000082,USR00193,BK01242,2024-04-21,2024-05-05,2024-05-01,Dikembalikan,10.0
82,TRX000083,USR00322,BK00936,2025-10-13,2025-10-27,2025-10-29,Terlambat,16.0
83,TRX000084,USR00202,BK01216,2024-10-08,2024-10-22,2024-10-19,Dikembalikan,11.0
84,TRX000085,USR00151,BK01273,2025-12-31,2026-01-14,,Dipinjam,belum_kembali
85,TRX000086,USR00287,BK00005,2023-05-18,2023-06-01,2023-05-29,Dikembalikan,11.0
86,TRX000087,USR00316,BK00290,2025-12-25,2026-01-08,,Dipinjam,belum_kembali
87,TRX000088,USR00349,BK00937,2025-09-19,2025-10-03,2025-10-01,Dikembalikan,12.0
88,TRX000089,USR00152,BK00701,2024-06-02,2024-06-16,2024-06-19,Terlambat,17.0
89,TRX000090,USR00024,BK00946,2024-06-18,2024-07-02,2024-07-05,Terlambat,17.0
90,TRX000091,USR00051,BK00061,2024-11-01,2024-11-15,2024-11-12,Dikembalikan,11.0
91,TRX000092,USR00282,BK01330,2023-12-07,2023-12-21,2023-12-17,Dikembalikan,10.0
92,TRX000093,USR00364,BK00110,2025-01-01,2025-01-15,2025-01-06,Dikembalikan,5.0
93,TRX000094,USR00129,BK00871,2025-04-12,2025-04-26,2025-04-28,Terlambat,16.0
94,TRX000095,USR00364,BK00074,2023-07-15,2023-07-29,2023-07-24,Dikembalikan,9.0
95,TRX000096,USR00132,BK00488,2023-01-18,2023-02-01,2023-01-25,Dikembalikan,7.0
96,TRX000097,USR00299,BK00738,2024-10-13,2024-10-27,2024-11-02,Terlambat,20.0
97,TRX000098,USR00195,BK00334,2023-12-10,2023-12-24,2023-12-16,Dikembalikan,6.0
98,TRX000099,USR00222,BK00447,2025-12-06,2025-12-20,2025-12-18,Dikembalikan,12.0
99,TRX000100,USR00223,BK00626,2023-06-05,2023-06-19,2023-06-13,Dikembalikan,8.0
100,TRX000101,USR00192,BK00805,2024-11-07,2024-11-21,2024-11-21,Dikembalikan,14.0
101,TRX000102,USR00182,BK00504,2023-08-15,2023-08-29,2023-08-30,Terlambat,15.0
102,TRX000103,USR00334,BK01189,2023-07-18,2023-08-01,2023-08-08,Terlambat,21.0
103,TRX000104,USR00243,BK00991,2023-07-07,2023-07-21,2023-07-27,Terlambat,20.0
104,TRX000105,USR00133,BK00814,2023-04-24,2023-05-08,2023-05-03,Dikembalikan,9.0
105,TRX000106,USR00198,BK00714,2025-02-27,2025-03-13,2025-03-08,Dikembalikan,9.0
106,TRX000107,USR00275,BK00506,2023-12-21,2024-01-04,2024-01-02,Dikembalikan,12.0
107,TRX000108,USR00089,BK00455,2025-08-06,2025-08-20,2025-08-16,Dikembalikan,10.0
108,TRX000109,USR00167,BK00985,2023-07-28,2023-08-11,2023-08-05,Dikembalikan,8.0
109,TRX000110,USR00035,BK00257,2024-08-27,2024-09-10,2024-09-01,Dikembalikan,5.0
110,TRX000111,USR00153,BK00467,2023-06-30,2023-07-14,2023-07-09,Dikembalikan,9.0
111,TRX000112,USR00173,BK00482,2024-02-05,2024-02-19,2024-02-09,Dikembalikan,4.0
112,TRX000113,USR00077,BK01211,2024-01-24,2024-02-07,2024-01-28,Dikembalikan,4.0
113,TRX000114,USR00185,BK00773,2025-06-22,2025-07-06,2025-07-12,Terlambat,20.0
114,TRX000115,USR00204,BK00061,2025-04-14,2025-04-28,2025-04-28,Dikembalikan,14.0
115,TRX000116,USR00131,BK00724,2024-10-16,2024-10-30,2024-11-02,Terlambat,17.0
116,TRX000117,USR00068,BK00054,2024-10-28,2024-11-11,2024-11-09,Dikembalikan,12.0
117,TRX000118,USR00298,BK00496,2023-07-21,2023-08-04,2023-07-28,Dikembalikan,7.0
118,TRX000119,USR00235,BK00851,2024-06-30,2024-07-14,2024-07-13,Dikembalikan,13.0
119,TRX000120,USR00356,BK01038,2023-07-30,2023-08-13,2023-08-02,Dikembalikan,3.0
120,TRX000121,USR00178,BK00251,2025-02-22,2025-03-08,2025-03-09,Terlambat,15.0
121,TRX000122,USR00262,BK01285,2025-12-14,2025-12-28,2025-12-21,Dikembalikan,7.0
122,TRX000123,USR00207,BK01276,2023-09-10,2023-09-24,2023-09-25,Terlambat,15.0
123,TRX000124,USR00157,BK01292,2023-11-08,2023-11-22,2023-11-13,Dikembalikan,5.0
124,TRX000125,USR00378,BK00521,2023-12-16,2023-12-30,2023-12-31,Terlambat,15.0
125,TRX000126,USR00348,BK00622,2023-10-27,2023-11-10,2023-10-30,Dikembalikan,3.0
126,TRX000127,USR00212,BK01007,2023-01-08,2023-01-22,2023-01-11,Dikembalikan,3.0
127,TRX000128,USR00366,BK00914,2024-12-21,2025-01-04,2025-01-08,Terlambat,18.0
128,TRX000129,USR00239,BK01026,2024-02-17,2024-03-02,2024-02-25,Dikembalikan,8.0
129,TRX000130,USR00343,BK01019,2024-07-01,2024-07-15,2024-07-21,Terlambat,20.0
130,TRX000131,USR00339,BK01215,2025-08-06,2025-08-20,2025-08-12,Dikembalikan,6.0
131,TRX000132,USR00341,BK01371,2023-04-02,2023-04-16,2023-04-15,Dikembalikan,13.0
132,TRX000133,USR00221,BK01354,2023-10-29,2023-11-12,2023-11-17,Terlambat,19.0
133,TRX000134,USR00098,BK00326,2023-12-22,2024-01-05,2023-12-30,Dikembalikan,8.0
134,TRX000135,USR00169,BK01142,2025-09-04,2025-09-18,2025-09-15,Dikembalikan,11.0
135,TRX000136,USR00138,BK01338,2024-11-29,2024-12-13,2024-12-03,Dikembalikan,4.0
136,TRX000137,USR00145,BK01346,2025-10-26,2025-11-09,2025-11-16,Terlambat,21.0
137,TRX000138,USR00139,BK01056,2024-06-15,2024-06-29,2024-06-24,Dikembalikan,9.0
138,TRX000139,USR00350,BK00972,2025-06-02,2025-06-16,2025-06-09,Dikembalikan,7.0
139,TRX000140,USR00082,BK01374,2025-02-19,2025-03-05,2025-03-05,Dikembalikan,14.0
140,TRX000141,USR00054,BK00273,2024-05-01,2024-05-15,2024-05-06,Dikembalikan,5.0
141,TRX000142,USR00356,BK01218,2023-10-10,2023-10-24,2023-10-31,Terlambat,21.0
142,TRX000143,USR00295,BK00118,2025-02-21,2025-03-07,2025-02-24,Dikembalikan,3.0
143,TRX000144,USR00177,BK00776,2025-07-04,2025-07-18,2025-07-09,Dikembalikan,5.0
144,TRX000145,USR00068,BK00020,2025-11-08,2025-11-22,2025-11-11,Dikembalikan,3.0
145,TRX000146,USR00040,BK01091,2024-06-09,2024-06-23,2024-06-28,Terlambat,19.0
146,TRX000147,USR00183,BK01374,2023-12-12,2023-12-26,2024-01-02,Terlambat,21.0
147,TRX000148,USR00117,BK01282,2023-09-07,2023-09-21,2023-09-18,Dikembalikan,11.0
148,TRX000149,USR00371,BK01171,2024-04-22,2024-05-06,2024-05-04,Dikembalikan,12.0
149,TRX000150,USR00244,BK00381,2025-04-17,2025-05-01,2025-05-05,Terlambat,18.0
150,TRX000151,USR00132,BK00503,2023-09-16,2023-09-30,2023-10-01,Terlambat,15.0
151,TRX000152,USR00297,BK01195,2025-12-18,2026-01-01,,Dipinjam,belum_kembali
152,TRX000153,USR00234,BK01139,2024-11-10,2024-11-24,2024-11-25,Terlambat,15.0
153,TRX000154,USR00045,BK00671,2025-01-22,2025-02-05,2025-02-11,Terlambat,20.0
154,TRX000155,USR00359,BK00990,2023-11-22,2023-12-06,2023-12-11,Terlambat,19.0
155,TRX000156,USR00118,BK01164,2023-01-04,2023-01-18,2023-01-10,Dikembalikan,6.0
156,TRX000157,USR00143,BK00353,2025-06-13,2025-06-27,2025-07-02,Terlambat,19.0
157,TRX000158,USR00204,BK00058,2025-05-15,2025-05-29,2025-06-02,Terlambat,18.0
158,TRX000159,USR00092,BK00288,2025-03-28,2025-04-11,2025-04-08,Dikembalikan,11.0
159,TRX000160,USR00004,BK01061,2024-07-28,2024-08-11,2024-08-18,Terlambat,21.0
160,TRX000161,USR00060,BK00410,2024-04-18,2024-05-02,2024-05-02,Dikembalikan,14.0
161,TRX000162,USR00324,BK01087,2024-10-22,2024-11-05,2024-11-05,Dikembalikan,14.0
162,TRX000163,USR00372,BK00853,2023-11-21,2023-12-05,2023-12-10,Terlambat,19.0
163,TRX000164,USR00099,BK01225,2024-07-20,2024-08-03,2024-07-25,Dikembalikan,5.0
164,TRX000165,USR00006,BK00850,2025-12-14,2025-12-28,2025-12-29,Terlambat,15.0
165,TRX000166,USR00303,BK00701,2023-11-17,2023-12-01,2023-12-03,Terlambat,16.0
166,TRX000167,USR00124,BK01307,2023-08-30,2023-09-13,2023-09-17,Terlambat,18.0
167,TRX000168,USR00269,BK00090,2024-12-29,2025-01-12,2025-01-11,Dikembalikan,13.0
168,TRX000169,USR00013,BK01048,2023-08-17,2023-08-31,2023-09-01,Terlambat,15.0
169,TRX000170,USR00128,BK01233,2023-04-13,2023-04-27,2023-05-04,Terlambat,21.0
170,TRX000171,USR00020,BK00491,2023-05-05,2023-05-19,2023-05-11,Dikembalikan,6.0
171,TRX000172,USR00181,BK00532,2025-08-31,2025-09-14,2025-09-07,Dikembalikan,7.0
172,TRX000173,USR00079,BK00773,2024-03-16,2024-03-30,2024-03-28,Dikembalikan,12.0
173,TRX000174,USR00073,BK00515,2025-02-20,2025-03-06,2025-03-08,Terlambat,16.0
174,TRX000175,USR00005,BK01224,2025-06-11,2025-06-25,2025-06-15,Dikembalikan,4.0
175,TRX000176,USR00036,BK00519,2025-11-02,2025-11-16,2025-11-06,Dikembalikan,4.0
176,TRX000177,USR00166,BK01313,2023-01-11,2023-01-25,2023-01-16,Dikembalikan,5.0
177,TRX000178,USR00146,BK00328,2025-06-17,2025-07-01,2025-06-27,Dikembalikan,10.0
178,TRX000179,USR00112,BK00400,2023-08-02,2023-08-16,2023-08-16,Dikembalikan,14.0
179,TRX000180,USR00014,BK01361,2024-12-07,2024-12-21,2024-12-17,Dikembalikan,10.0
180,TRX000181,USR00242,BK00306,2025-09-19,2025-10-03,2025-09-30,Dikembalikan,11.0
181,TRX000182,USR00025,BK00330,2025-04-05,2025-04-19,2025-04-12,Dikembalikan,7.0
182,TRX000183,USR00122,BK01174,2025-03-20,2025-04-03,2025-04-01,Dikembalikan,12.0
183,TRX000184,USR00276,BK01308,2025-12-22,2026-01-05,,Dipinjam,belum_kembali
184,TRX000185,USR00113,BK00548,2025-10-23,2025-11-06,2025-11-06,Dikembalikan,14.0
185,TRX000186,USR00027,BK00165,2025-01-01,2025-01-15,2025-01-14,Dikembalikan,13.0
186,TRX000187,USR00293,BK00681,2024-03-21,2024-04-04,2024-04-10,Terlambat,20.0
187,TRX000188,USR00230,BK00728,2024-10-17,2024-10-31,2024-11-06,Terlambat,20.0
188,TRX000189,USR00090,BK01338,2024-06-16,2024-06-30,2024-06-25,Dikembalikan,9.0
189,TRX000190,USR00327,BK00536,2025-11-14,2025-11-28,2025-11-25,Dikembalikan,11.0
190,TRX000191,USR00132,BK00500,2025-09-11,2025-09-25,2025-09-24,Dikembalikan,13.0
191,TRX000192,USR00269,BK00014,2025-10-30,2025-11-13,2025-11-04,Dikembalikan,5.0
192,TRX000193,USR00028,BK00363,2024-09-04,2024-09-18,2024-09-10,Dikembalikan,6.0
193,TRX000194,USR00280,BK00745,2024-11-25,2024-12-09,2024-12-04,Dikembalikan,9.0
194,TRX000195,USR00136,BK00909,2023-12-31,2024-01-14,2024-01-19,Terlambat,19.0
195,TRX000196,USR00118,BK01027,2025-11-25,2025-12-09,2025-12-08,Dikembalikan,13.0
196,TRX000197,USR00211,BK01008,2025-06-30,2025-07-14,2025-07-16,Terlambat,16.0
197,TRX000198,USR00244,BK00387,2025-09-12,2025-09-26,2025-09-15,Dikembalikan,3.0
198,TRX000199,USR00241,BK00996,2024-09-18,2024-10-02,2024-09-28,Dikembalikan,10.0
199,TRX000200,USR00080,BK00417,2025-10-05,2025-10-19,2025-10-11,Dikembalikan,6.0
200,TRX000201,USR00191,BK01235,2023-01-06,2023-01-20,2023-01-27,Terlambat,21.0
201,TRX000202,USR00308,BK00705,2025-09-24,2025-10-08,2025-10-09,Terlambat,15.0
202,TRX000203,USR00130,BK00641,2024-09-03,2024-09-17,2024-09-09,Dikembalikan,6.0
203,TRX000204,USR00317,BK00685,2023-04-15,2023-04-29,2023-04-19,Dikembalikan,4.0
204,TRX000205,USR00306,BK00020,2025-07-20,2025-08-03,2025-07-30,Dikembalikan,10.0
205,TRX000206,USR00108,BK00636,2024-05-07,2024-05-21,2024-05-12,Dikembalikan,5.0
206,TRX000207,USR00144,BK00226,2025-09-17,2025-10-01,2025-09-24,Dikembalikan,7.0
207,TRX000208,USR00048,BK01332,2025-04-01,2025-04-15,2025-04-12,Dikembalikan,11.0
208,TRX000209,USR00247,BK00198,2024-09-24,2024-10-08,2024-09-30,Dikembalikan,6.0
209,TRX000210,USR00111,BK01004,2024-03-14,2024-03-28,2024-03-27,Dikembalikan,13.0
210,TRX000211,USR00122,BK01201,2024-12-16,2024-12-30,2025-01-05,Terlambat,20.0
211,TRX000212,USR00073,BK00041,2024-12-05,2024-12-19,2024-12-23,Terlambat,18.0
212,TRX000213,USR00312,BK00493,2025-01-11,2025-01-25,2025-01-30,Terlambat,19.0
213,TRX000214,USR00297,BK01179,2023-08-29,2023-09-12,2023-09-07,Dikembalikan,9.0
214,TRX000215,USR00300,BK01127,2024-09-10,2024-09-24,2024-09-27,Terlambat,17.0
215,TRX000216,USR00378,BK00533,2025-06-29,2025-07-13,2025-07-05,Dikembalikan,6.0
216,TRX000217,USR00106,BK00161,2025-09-28,2025-10-12,2025-10-08,Dikembalikan,10.0
217,TRX000218,USR00247,BK00196,2024-10-16,2024-10-30,2024-11-06,Terlambat,21.0
218,TRX000219,USR00057,BK01266,2025-10-19,2025-11-02,2025-10-31,Dikembalikan,12.0
219,TRX000220,USR00135,BK01189,2023-02-22,2023-03-08,2023-03-03,Dikembalikan,9.0
220,TRX000221,USR00297,BK01221,2023-06-09,2023-06-23,2023-06-26,Terlambat,17.0
221,TRX000222,USR00191,BK00981,2023-03-22,2023-04-05,2023-03-28,Dikembalikan,6.0
222,TRX000223,USR00033,BK00213,2023-03-10,2023-03-24,2023-03-28,Terlambat,18.0
223,TRX000224,USR00061,BK01146,2024-10-04,2024-10-18,2024-10-10,Dikembalikan,6.0
224,TRX000225,USR00121,BK00944,2024-04-29,2024-05-13,2024-05-19,Terlambat,20.0
225,TRX000226,USR00245,BK00218,2025-05-18,2025-06-01,2025-06-04,Terlambat,17.0
226,TRX000227,USR00213,BK00059,2025-05-27,2025-06-10,2025-06-14,Terlambat,18.0
227,TRX000228,USR00309,BK01357,2025-12-15,2025-12-29,2025-12-31,Terlambat,16.0
228,TRX000229,USR00007,BK00946,2024-07-07,2024-07-21,2024-07-12,Dikembalikan,5.0
229,TRX000230,USR00179,BK00555,2023-08-07,2023-08-21,2023-08-16,Dikembalikan,9.0
230,TRX000231,USR00186,BK00513,2023-04-07,2023-04-21,2023-04-24,Terlambat,17.0
231,TRX000232,USR00015,BK01362,2024-09-26,2024-10-10,2024-10-06,Dikembalikan,10.0
232,TRX000233,USR00083,BK00801,2024-10-04,2024-10-18,2024-10-22,Terlambat,18.0
233,TRX000234,USR00116,BK00994,2025-04-27,2025-05-11,2025-05-14,Terlambat,17.0
234,TRX000235,USR00022,BK00511,2024-07-02,2024-07-16,2024-07-21,Terlambat,19.0
235,TRX000236,USR00271,BK00636,2023-04-16,2023-04-30,2023-05-03,Terlambat,17.0
236,TRX000237,USR00054,BK01003,2025-06-13,2025-06-27,2025-06-27,Dikembalikan,14.0
237,TRX000238,USR00293,BK00594,2025-11-17,2025-12-01,2025-11-25,Dikembalikan,8.0
238,TRX000239,USR00369,BK00725,2024-04-30,2024-05-14,2024-05-18,Terlambat,18.0
239,TRX000240,USR00259,BK00828,2023-05-20,2023-06-03,2023-05-27,Dikembalikan,7.0
240,TRX000241,USR00308,BK00461,2025-12-07,2025-12-21,2025-12-22,Terlambat,15.0
241,TRX000242,USR00293,BK00499,2023-09-21,2023-10-05,2023-09-30,Dikembalikan,9.0
242,TRX000243,USR00173,BK00551,2023-12-07,2023-12-21,2023-12-20,Dikembalikan,13.0
243,TRX000244,USR00169,BK00913,2023-06-19,2023-07-03,2023-06-25,Dikembalikan,6.0
244,TRX000245,USR00114,BK01015,2024-11-13,2024-11-27,2024-11-25,Dikembalikan,12.0
245,TRX000246,USR00305,BK00292,2024-07-12,2024-07-26,2024-07-27,Terlambat,15.0
246,TRX000247,USR00006,BK00914,2024-01-06,2024-01-20,2024-01-20,Dikembalikan,14.0
247,TRX000248,USR00352,BK01266,2023-06-06,2023-06-20,2023-06-12,Dikembalikan,6.0
248,TRX000249,USR00004,BK00812,2024-12-02,2024-12-16,2024-12-07,Dikembalikan,5.0
249,TRX000250,USR00341,BK01340,2024-11-23,2024-12-07,2024-11-30,Dikembalikan,7.0
250,TRX000251,USR00176,BK00673,2024-03-19,2024-04-02,2024-04-05,Terlambat,17.0
251,TRX000252,USR00358,BK00852,2025-11-16,2025-11-30,2025-11-28,Dikembalikan,12.0
252,TRX000253,USR00359,BK01232,2025-10-14,2025-10-28,2025-10-19,Dikembalikan,5.0
253,TRX000254,USR00196,BK00598,2024-06-18,2024-07-02,2024-07-07,Terlambat,19.0
254,TRX000255,USR00036,BK00730,2023-07-19,2023-08-02,2023-07-25,Dikembalikan,6.0
255,TRX000256,USR00344,BK00953,2023-01-24,2023-02-07,2023-02-02,Dikembalikan,9.0
256,TRX000257,USR00040,BK01287,2024-08-19,2024-09-02,2024-09-05,Terlambat,17.0
257,TRX000258,USR00315,BK00762,2025-05-13,2025-05-27,2025-05-31,Terlambat,18.0
258,TRX000259,USR00057,BK01111,2025-02-11,2025-02-25,2025-02-18,Dikembalikan,7.0
259,TRX000260,USR00172,BK00859,2025-05-12,2025-05-26,2025-05-30,Terlambat,18.0
260,TRX000261,USR00188,BK01128,2024-01-15,2024-01-29,2024-01-21,Dikembalikan,6.0
261,TRX000262,USR00146,BK00468,2023-04-12,2023-04-26,2023-04-24,Dikembalikan,12.0
262,TRX000263,USR00362,BK01261,2024-04-08,2024-04-22,2024-04-16,Dikembalikan,8.0
263,TRX000264,USR00308,BK00109,2024-06-09,2024-06-23,2024-06-25,Terlambat,16.0
264,TRX000265,USR00217,BK01141,2023-03-17,2023-03-31,2023-03-30,Dikembalikan,13.0
265,TRX000266,USR00187,BK00680,2024-04-17,2024-05-01,2024-04-20,Dikembalikan,3.0
266,TRX000267,USR00182,BK00474,2023-03-09,2023-03-23,2023-03-30,Terlambat,21.0
267,TRX000268,USR00236,BK00467,2023-02-01,2023-02-15,2023-02-11,Dikembalikan,10.0
268,TRX000269,USR00112,BK00544,2023-08-23,2023-09-06,2023-09-09,Terlambat,17.0
269,TRX000270,USR00270,BK00078,2025-02-04,2025-02-18,2025-02-24,Terlambat,20.0
270,TRX000271,USR00294,BK00057,2023-10-19,2023-11-02,2023-11-09,Terlambat,21.0
271,TRX000272,USR00045,BK00705,2023-08-30,2023-09-13,2023-09-12,Dikembalikan,13.0
272,TRX000273,USR00039,BK01025,2025-03-26,2025-04-09,2025-04-02,Dikembalikan,7.0
273,TRX000274,USR00047,BK00405,2025-04-02,2025-04-16,2025-04-05,Dikembalikan,3.0
274,TRX000275,USR00190,BK00168,2025-11-10,2025-11-24,2025-11-27,Terlambat,17.0
