,id_buku,judul,pengarang,penerbit,tahun_terbit,fakultas_terkait,prodi_terkait,kategori,sinopsis,tags,bahasa,jenis_koleksi,jumlah_halaman,isbn,stok,content_soup,content_soup_clean
10,BK00011,Dasar Algoritma,Endah Hasanah,Rajawali Pers,2008,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang pemecahan masalah komputasional, logika pemrograman, serta pengembangan perangkat lunak. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","python, logika komputasi, pemrograman, coding",Inggris,Fisik,336,978-1-82814-893-8,6,"Dasar Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini memberikan pemahaman menyeluruh tentang pemecahan masalah komputasional, logika pemrograman, serta pengembangan perangkat lunak. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan. Endah Hasanah python, logika komputasi, pemrograman, coding python, logika komputasi, pemrograman, coding",dasar algoritma pemrograman algoritma pemrograman algoritma pemrograman algoritma buku paham pecah komputasional logika pemrograman kembang perangkat lunak lengkap contoh studi lapang relevan endah hasanah python logika komputasi pemrograman coding python logika komputasi pemrograman coding
11,BK00012,Struktur Data: Konsep dan Implementasi,Hardi Marpaung,Salemba Empat,2019,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai algoritma dan struktur data, logika pemrograman, serta efisiensi algoritma. Membantu pembaca membangun pemahaman konseptual maupun praktis.","struktur data, algoritma, java, python",Inggris,Fisik,262,978-1-70154-303-4,7,"Struktur Data: Konsep dan Implementasi Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini menyajikan kajian komprehensif mengenai algoritma dan struktur data, logika pemrograman, serta efisiensi algoritma. Membantu pembaca membangun pemahaman konseptual maupun praktis. Hardi Marpaung struktur data, algoritma, java, python struktur data, algoritma, java, python",struktur data konsep implementasi pemrograman algoritma pemrograman algoritma pemrograman algoritma buku saji kaji komprehensif algoritma struktur data logika pemrograman efisiensi algoritma bantu baca bangun paham konseptual praktis hardi marpaung struktur data algoritma java python struktur data algoritma java python
12,BK00013,Dasar Web Development,Puti Chelsea Laksita,Pustaka Pelajar,2020,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai algoritma dan struktur data, pengembangan perangkat lunak, serta logika pemrograman. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","struktur data, algoritma, logika komputasi, pemrograman",Indonesia,Fisik,150,978-0-278-24896-0,2,"Dasar Web Development Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini menyajikan kajian komprehensif mengenai algoritma dan struktur data, pengembangan perangkat lunak, serta logika pemrograman. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait. Puti Chelsea Laksita struktur data, algoritma, logika komputasi, pemrograman struktur data, algoritma, logika komputasi, pemrograman",dasar web development pemrograman algoritma pemrograman algoritma pemrograman algoritma buku saji kaji komprehensif algoritma struktur data kembang perangkat lunak logika pemrograman rujuk kuliah teliti kait puti chelsea laksita struktur data algoritma logika komputasi pemrograman struktur data algoritma logika komputasi pemrograman
13,BK00014,Dasar Logika Pemrograman,Wisnu Namaga,Erlangga,2011,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai pengembangan perangkat lunak, pemecahan masalah komputasional, serta logika pemrograman. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","kompleksitas, python, java, pemrograman",Indonesia,E-book,280,978-1-65787-133-5,9999,"Dasar Logika Pemrograman Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini menyajikan kajian komprehensif mengenai pengembangan perangkat lunak, pemecahan masalah komputasional, serta logika pemrograman. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik. Wisnu Namaga kompleksitas, python, java, pemrograman kompleksitas, python, java, pemrograman",dasar logika pemrograman pemrograman algoritma pemrograman algoritma pemrograman algoritma buku saji kaji komprehensif kembang perangkat lunak pecah komputasional logika pemrograman susun bahasa mudah paham kalang akademik wisnu namaga kompleksitas python java pemrograman kompleksitas python java pemrograman
14,BK00015,Dasar Web Development,Gandi Damanik,Kencana Prenada,2008,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai logika pemrograman, algoritma dan struktur data, serta efisiensi algoritma. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","python, algoritma, pemrograman, coding",Indonesia,E-book,161,978-0-01-031051-1,9999,"Dasar Web Development Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini menyajikan kajian komprehensif mengenai logika pemrograman, algoritma dan struktur data, serta efisiensi algoritma. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait. Gandi Damanik python, algoritma, pemrograman, coding python, algoritma, pemrograman, coding",dasar web development pemrograman algoritma pemrograman algoritma pemrograman algoritma buku saji kaji komprehensif logika pemrograman algoritma struktur data efisiensi algoritma rujuk kuliah teliti kait gandi damanik python algoritma pemrograman coding python algoritma pemrograman coding
15,BK00016,C++: Konsep dan Implementasi,"Sutan Estiawan Winarsih, Gabriella Namaga",Nuha Medika,2005,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini mengulas berbagai aspek penting dari logika pemrograman, implementasi kode, serta pemecahan masalah komputasional. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","logika komputasi, struktur data, python, java",Indonesia,Fisik,395,978-1-376-31165-5,3,"C++: Konsep dan Implementasi Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini mengulas berbagai aspek penting dari logika pemrograman, implementasi kode, serta pemecahan masalah komputasional. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi. Sutan Estiawan Winarsih, Gabriella Namaga logika komputasi, struktur data, python, java logika komputasi, struktur data, python, java",konsep implementasi pemrograman algoritma pemrograman algoritma pemrograman algoritma buku ulas aspek logika pemrograman implementasi kode pecah komputasional cocok referensi utama mahasiswa praktisi sutan estiawan winarsih gabriella namaga logika komputasi struktur data python java logika komputasi struktur data python java
16,BK00017,Pengantar C++,Laras Hastuti,Salemba Empat,2008,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami efisiensi algoritma, implementasi kode, serta algoritma dan struktur data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","logika komputasi, python, struktur data, java",Indonesia,Fisik,174,978-0-06-513338-7,8,"Pengantar C++ Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini dirancang sebagai panduan untuk memahami efisiensi algoritma, implementasi kode, serta algoritma dan struktur data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik. Laras Hastuti logika komputasi, python, struktur data, java logika komputasi, python, struktur data, java",antar pemrograman algoritma pemrograman algoritma pemrograman algoritma buku rancang pandu paham efisiensi algoritma implementasi kode algoritma struktur data susun bahasa mudah paham kalang akademik laras hastuti logika komputasi python struktur data java logika komputasi python struktur data java
17,BK00018,Algoritma dan Pemrograman Berorientasi Objek,Dina Anggraini,Alfabeta,2018,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang efisiensi algoritma, pemecahan masalah komputasional, serta implementasi kode. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","java, logika komputasi, coding, python",Indonesia,Fisik,290,978-1-73178-108-6,2,"Algoritma dan Pemrograman Berorientasi Objek Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini membahas secara mendalam tentang efisiensi algoritma, pemecahan masalah komputasional, serta implementasi kode. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi. Dina Anggraini java, logika komputasi, coding, python java, logika komputasi, coding, python",algoritma pemrograman orientasi objek pemrograman algoritma pemrograman algoritma pemrograman algoritma buku bahas dalam efisiensi algoritma pecah komputasional implementasi kode cocok referensi utama mahasiswa praktisi dina anggraini java logika komputasi coding python java logika komputasi coding python
18,BK00019,Pengantar Web Development,"Cut Cornelia Prakasa, S.E.",Informatika Bandung,2009,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami efisiensi algoritma, algoritma dan struktur data, serta implementasi kode. Membantu pembaca membangun pemahaman konseptual maupun praktis.","algoritma, kompleksitas, coding, struktur data",Indonesia,Fisik,277,978-1-7360260-6-9,5,"Pengantar Web Development Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini dirancang sebagai panduan untuk memahami efisiensi algoritma, algoritma dan struktur data, serta implementasi kode. Membantu pembaca membangun pemahaman konseptual maupun praktis. Cut Cornelia Prakasa, S.E. algoritma, kompleksitas, coding, struktur data algoritma, kompleksitas, coding, struktur data",antar web development pemrograman algoritma pemrograman algoritma pemrograman algoritma buku rancang pandu paham efisiensi algoritma algoritma struktur data implementasi kode bantu baca bangun paham konseptual praktis cut cornelia prakasa algoritma kompleksitas coding struktur data algoritma kompleksitas coding struktur data
19,BK00020,Algoritma dan Algoritma,Violet Hasanah,Gramedia Pustaka Utama,2018,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai efisiensi algoritma, logika pemrograman, serta pengembangan perangkat lunak. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","logika komputasi, coding, pemrograman, java",Indonesia,E-book,290,978-1-872343-09-9,9999,"Algoritma dan Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini menyajikan kajian komprehensif mengenai efisiensi algoritma, logika pemrograman, serta pengembangan perangkat lunak. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan. Violet Hasanah logika komputasi, coding, pemrograman, java logika komputasi, coding, pemrograman, java",algoritma algoritma pemrograman algoritma pemrograman algoritma pemrograman algoritma buku saji kaji komprehensif efisiensi algoritma logika pemrograman kembang perangkat lunak lengkap contoh studi lapang relevan violet hasanah logika komputasi coding pemrograman java logika komputasi coding pemrograman java
20,BK00021,Algoritma: Konsep dan Implementasi,"Puput Halim, S.Psi",Kencana Prenada,2012,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini mengulas berbagai aspek penting dari logika pemrograman, pengembangan perangkat lunak, serta pemecahan masalah komputasional. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","struktur data, java, algoritma, coding",Indonesia,E-book,218,978-0-9788208-1-7,9999,"Algoritma: Konsep dan Implementasi Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini mengulas berbagai aspek penting dari logika pemrograman, pengembangan perangkat lunak, serta pemecahan masalah komputasional. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik. Puput Halim, S.Psi struktur data, java, algoritma, coding struktur data, java, algoritma, coding",algoritma konsep implementasi pemrograman algoritma pemrograman algoritma pemrograman algoritma buku ulas aspek logika pemrograman kembang perangkat lunak pecah komputasional susun bahasa mudah paham kalang akademik puput halim psi struktur data java algoritma coding struktur data java algoritma coding
21,BK00022,Algoritma dan Pemrograman Berorientasi Objek,"R. Betania Riyanti, S.Pt",Deepublish,2013,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang pemecahan masalah komputasional, efisiensi algoritma, serta implementasi kode. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","pemrograman, python, logika komputasi, kompleksitas",Indonesia,Fisik,175,978-1-193-99091-0,6,"Algoritma dan Pemrograman Berorientasi Objek Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini membahas secara mendalam tentang pemecahan masalah komputasional, efisiensi algoritma, serta implementasi kode. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi. R. Betania Riyanti, S.Pt pemrograman, python, logika komputasi, kompleksitas pemrograman, python, logika komputasi, kompleksitas",algoritma pemrograman orientasi objek pemrograman algoritma pemrograman algoritma pemrograman algoritma buku bahas dalam pecah komputasional efisiensi algoritma implementasi kode cocok referensi utama mahasiswa praktisi betania riyanti pt pemrograman python logika komputasi kompleksitas pemrograman python logika komputasi kompleksitas
22,BK00023,C++: Konsep dan Implementasi,Sakura Padmasari,Elex Media Komputindo,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang implementasi kode, algoritma dan struktur data, serta pemecahan masalah komputasional. Membantu pembaca membangun pemahaman konseptual maupun praktis.","struktur data, java, pemrograman, kompleksitas",Indonesia,Fisik,155,978-1-353-46247-9,5,"C++: Konsep dan Implementasi Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini membahas secara mendalam tentang implementasi kode, algoritma dan struktur data, serta pemecahan masalah komputasional. Membantu pembaca membangun pemahaman konseptual maupun praktis. Sakura Padmasari struktur data, java, pemrograman, kompleksitas struktur data, java, pemrograman, kompleksitas",konsep implementasi pemrograman algoritma pemrograman algoritma pemrograman algoritma buku bahas dalam implementasi kode algoritma struktur data pecah komputasional bantu baca bangun paham konseptual praktis sakura padmasari struktur data java pemrograman kompleksitas struktur data java pemrograman kompleksitas
23,BK00024,Python: Konsep dan Implementasi,Umi Hidayanto,Deepublish,2017,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai pemecahan masalah komputasional, implementasi kode, serta logika pemrograman. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","pemrograman, logika komputasi, java, python",Indonesia,Fisik,400,978-1-991183-84-2,0,"Python: Konsep dan Implementasi Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini menyajikan kajian komprehensif mengenai pemecahan masalah komputasional, implementasi kode, serta logika pemrograman. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait. Umi Hidayanto pemrograman, logika komputasi, java, python pemrograman, logika komputasi, java, python",python konsep implementasi pemrograman algoritma pemrograman algoritma pemrograman algoritma buku saji kaji komprehensif pecah komputasional implementasi kode logika pemrograman rujuk kuliah teliti kait umi hidayanto pemrograman logika komputasi java python pemrograman logika komputasi java python
24,BK00025,Algoritma dan Algoritma,Wardi Tampubolon,Graha Ilmu,2014,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai pengembangan perangkat lunak, logika pemrograman, serta pemecahan masalah komputasional. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","logika komputasi, java, coding, kompleksitas",Indonesia,Fisik,464,978-0-542-78498-9,4,"Algoritma dan Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini menyajikan kajian komprehensif mengenai pengembangan perangkat lunak, logika pemrograman, serta pemecahan masalah komputasional. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi. Wardi Tampubolon logika komputasi, java, coding, kompleksitas logika komputasi, java, coding, kompleksitas",algoritma algoritma pemrograman algoritma pemrograman algoritma pemrograman algoritma buku saji kaji komprehensif kembang perangkat lunak logika pemrograman pecah komputasional cocok referensi utama mahasiswa praktisi wardi tampubolon logika komputasi java coding kompleksitas logika komputasi java coding kompleksitas
25,BK00026,Pengantar Java Edisi Ke-2,Mulyanto Puspasari,Gramedia Pustaka Utama,2009,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang logika pemrograman, pemecahan masalah komputasional, serta efisiensi algoritma. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","struktur data, java, coding, pemrograman",Indonesia,Fisik,232,978-0-241-18244-4,2,"Pengantar Java Edisi Ke-2 Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini memberikan pemahaman menyeluruh tentang logika pemrograman, pemecahan masalah komputasional, serta efisiensi algoritma. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan. Mulyanto Puspasari struktur data, java, coding, pemrograman struktur data, java, coding, pemrograman",antar java edisi pemrograman algoritma pemrograman algoritma pemrograman algoritma buku paham logika pemrograman pecah komputasional efisiensi algoritma lengkap contoh studi lapang relevan mulyanto puspasari struktur data java coding pemrograman struktur data java coding pemrograman
